cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
66;1;2003;2003m01;34;5;Magé;3302502;Baixada Fluminense;8;0;0;8;0;8;2;65;1;1;9;5;3;4;12;11;0;0;3;0;0.0;0;0;;12;38;3;1;0;1;;41;46;0;0;0;4;6;;;;8;;;;;53;4;4;0;0;0;278;3
48;2;2003;2003m02;24;3;Seropédica;3305554;Baixada Fluminense;7;0;0;7;0;7;4;29;1;1;7;2;3;1;6;18;8;4;4;0;0.0;1;0;;15;56;1;0;0;1;;22;24;0;0;0;0;7;;;;8;;;;;19;1;0;0;0;0;187;3
50;2;2003;2003m02;24;3;Itaguaí;3302007;Baixada Fluminense;5;0;1;6;1;7;3;55;1;3;32;9;3;1;13;6;2;1;6;0;0.0;0;1;;6;35;9;2;0;1;;45;57;0;0;0;5;7;;;;5;;;;;39;4;2;0;0;0;252;3
51;2;2003;2003m02;24;3;Paracambi;3303609;Baixada Fluminense;3;0;0;3;0;3;1;37;1;0;2;2;2;0;4;1;0;0;0;0;0.0;0;0;;0;5;1;0;0;1;;12;14;0;0;0;4;2;;;;2;;;;;31;3;0;0;0;0;111;3
52;2;2003;2003m02;20;3;Nova Iguaçu;3303500;Baixada Fluminense;2;0;0;2;0;2;2;100;2;2;41;19;17;3;39;68;21;11;0;0;0.0;0;6;;44;189;35;5;0;5;;61;106;0;0;0;7;2;;;;30;;;;;75;0;1;0;0;0;531;3
53;2;2003;2003m02;20;3;Mesquita;3302858;Baixada Fluminense;8;0;0;8;3;11;2;81;1;1;11;15;9;7;31;16;1;4;0;0;0.0;0;3;;18;73;6;2;0;1;;31;40;0;0;0;2;9;;;;24;;;;;76;9;1;0;0;0;349;3
54;2;2003;2003m02;20;3;Belford Roxo;3300456;Baixada Fluminense;20;0;1;21;2;23;10;248;5;1;15;14;5;3;22;35;3;5;2;0;0.0;0;5;;27;99;12;1;0;6;;49;68;0;0;0;11;16;;;;31;;;;;199;14;2;0;0;0;751;3
55;2;2003;2003m02;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;9;0;0;9;1;10;3;67;5;1;15;11;1;0;12;14;9;6;0;0;0.0;0;0;;10;51;2;5;0;2;;57;66;0;0;0;3;12;;;;9;;;;;45;0;0;0;0;0;321;3
56;2;2003;2003m02;20;3;Nova Iguaçu;3303500;Baixada Fluminense;20;0;0;20;1;21;3;78;10;5;18;11;4;4;19;40;2;5;2;0;0.0;0;0;;35;103;12;0;0;2;;32;46;0;0;0;2;19;;;;29;;;;;68;12;1;0;0;0;395;3
57;2;2003;2003m02;20;3;Nilópolis;3303203;Baixada Fluminense;11;0;0;11;0;11;4;94;5;1;13;26;12;2;40;37;1;11;0;0;0.0;0;2;;31;122;29;10;1;7;;50;97;0;1;0;6;9;;;;20;;;;;54;5;1;0;0;0;440;3
58;2;2003;2003m02;20;3;Nova Iguaçu;3303500;Baixada Fluminense;21;0;1;22;3;25;9;125;6;5;33;11;5;8;24;45;1;3;2;0;0.0;0;0;;34;109;24;0;1;1;;42;68;0;0;0;1;6;;;;34;;;;;117;4;3;0;0;0;530;3
59;2;2003;2003m02;15;3;Duque de Caxias;3301702;Baixada Fluminense;9;0;0;9;9;18;7;167;8;4;92;69;48;45;162;171;24;25;4;1;0.0;0;27;;143;557;32;14;0;11;;94;151;0;0;0;19;24;;;;132;;;;;155;10;5;0;0;0;1251;3
60;2;2003;2003m02;15;3;Duque de Caxias;3301702;Baixada Fluminense;14;0;0;14;2;16;7;66;0;4;25;13;5;21;39;49;4;8;3;0;0.0;0;2;;34;139;9;0;0;0;;62;71;0;0;0;1;4;;;;28;;;;;60;8;6;0;0;0;420;3
61;2;2003;2003m02;15;3;Duque de Caxias;3301702;Baixada Fluminense;2;0;0;2;0;2;3;22;1;1;11;0;0;1;1;10;0;0;1;0;0.0;0;0;;2;14;1;0;0;0;;8;9;0;0;0;0;0;;;;13;;;;;26;1;2;0;0;0;101;3
62;2;2003;2003m02;15;3;Duque de Caxias;3301702;Baixada Fluminense;10;0;0;10;1;11;3;26;2;1;3;3;0;5;8;23;6;6;1;0;0.0;0;2;;12;58;1;0;0;0;;14;15;0;0;0;0;7;;;;18;;;;;26;0;1;0;0;0;165;3
64;2;2003;2003m02;20;3;São João de Meriti;3305109;Baixada Fluminense;23;1;1;25;4;29;10;205;4;2;49;25;7;18;50;66;12;10;0;0;0.0;0;6;;50;194;31;14;0;7;;84;136;0;0;0;21;16;;;;66;;;;;120;14;2;0;0;0;863;3
65;2;2003;2003m02;34;5;"Magé;Guapimirim";9999982;Baixada Fluminense;5;0;0;5;0;5;3;106;0;5;30;3;1;3;7;8;2;6;2;0;0.0;0;1;;6;32;3;1;1;0;;54;59;0;0;0;4;3;;;;5;;;;;85;3;3;0;0;0;313;3
66;2;2003;2003m02;34;5;Magé;3302502;Baixada Fluminense;11;0;0;11;0;11;1;52;0;2;18;2;4;4;10;4;2;3;0;0;0.0;0;0;;4;23;2;2;0;3;;24;31;0;0;0;2;15;;;;10;;;;;61;4;0;0;0;0;245;3
48;3;2003;2003m03;24;3;Seropédica;3305554;Baixada Fluminense;4;0;1;5;0;5;1;32;0;1;14;1;0;0;1;7;3;1;3;0;0.0;0;0;;5;20;1;0;0;1;;21;23;0;0;0;0;5;;;;5;;;;;31;3;1;0;0;0;140;3
50;3;2003;2003m03;24;3;Itaguaí;3302007;Baixada Fluminense;5;0;0;5;0;5;3;58;0;0;33;4;1;2;7;9;1;2;5;0;0.0;0;0;;2;26;12;1;0;0;;45;58;0;0;0;5;12;;;;12;;;;;41;3;1;0;0;0;273;3
51;3;2003;2003m03;24;3;Paracambi;3303609;Baixada Fluminense;2;0;0;2;0;2;2;31;1;0;4;2;0;0;2;0;0;0;0;0;0.0;0;0;;1;3;2;0;0;0;;14;16;0;0;0;3;3;;;;1;;;;;24;2;0;0;0;0;95;3
52;3;2003;2003m03;20;3;Nova Iguaçu;3303500;Baixada Fluminense;3;0;0;3;0;3;0;63;3;3;39;33;18;6;57;71;6;5;1;0;0.0;2;2;;51;195;31;7;0;10;;100;148;0;1;0;9;2;;;;32;;;;;42;1;1;0;0;0;563;3
53;3;2003;2003m03;20;3;Mesquita;3302858;Baixada Fluminense;4;0;0;4;1;5;0;76;1;1;12;15;8;10;33;17;3;2;1;0;0.0;0;0;;10;66;12;1;0;0;;35;48;0;0;0;1;8;;;;28;;;;;85;7;2;0;0;0;328;3
54;3;2003;2003m03;20;3;Belford Roxo;3300456;Baixada Fluminense;27;0;0;27;2;29;12;196;9;0;26;14;4;10;28;42;6;5;1;0;0.0;0;2;;28;112;16;1;0;4;;76;97;0;0;0;10;13;;;;39;;;;;144;19;2;0;0;0;707;3
55;3;2003;2003m03;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;13;0;0;13;0;13;7;86;3;1;15;10;5;1;16;13;4;1;1;0;0.0;0;1;;10;46;4;4;0;5;;45;58;0;0;0;5;16;;;;9;;;;;58;6;0;0;0;0;365;3
56;3;2003;2003m03;20;3;Nova Iguaçu;3303500;Baixada Fluminense;19;0;0;19;5;24;3;82;6;2;14;8;5;8;21;29;3;6;0;0;0.0;0;0;;23;82;10;2;3;1;;64;80;0;0;0;2;6;;;;27;;;;;61;9;0;0;0;0;411;3
57;3;2003;2003m03;20;3;Nilópolis;3303203;Baixada Fluminense;3;0;2;5;0;5;3;75;1;0;19;26;8;3;37;36;1;9;2;0;0.0;0;2;;28;115;16;7;0;7;;38;68;0;0;0;8;9;;;;35;;;;;35;8;1;0;0;0;395;3
58;3;2003;2003m03;20;3;Nova Iguaçu;3303500;Baixada Fluminense;23;0;0;23;0;23;6;122;9;3;37;8;7;13;28;43;4;10;3;0;0.0;0;0;;29;117;11;1;0;2;;63;77;0;0;0;1;2;;;;28;;;;;118;10;0;0;0;0;557;3
59;3;2003;2003m03;15;3;Duque de Caxias;3301702;Baixada Fluminense;16;1;0;17;5;22;5;140;5;6;51;68;32;23;123;143;10;19;2;0;0.0;0;13;;104;414;46;15;1;8;;109;179;0;0;0;21;20;;;;95;;;;;104;10;2;0;0;0;1078;3
60;3;2003;2003m03;15;3;Duque de Caxias;3301702;Baixada Fluminense;14;0;0;14;2;16;3;73;3;3;26;11;3;15;29;30;4;8;0;0;0.0;0;2;;16;89;9;1;0;2;;58;70;0;0;0;0;8;;;;20;;;;;58;5;2;0;0;0;382;3
61;3;2003;2003m03;15;3;Duque de Caxias;3301702;Baixada Fluminense;0;0;0;0;0;0;4;20;1;1;12;2;0;1;3;5;0;3;0;0;0.0;0;0;;5;16;1;1;0;0;;15;17;0;0;0;1;0;;;;3;;;;;21;0;0;0;0;0;91;3
62;3;2003;2003m03;15;3;Duque de Caxias;3301702;Baixada Fluminense;11;0;0;11;0;11;3;26;0;1;4;5;5;4;14;22;2;7;2;0;0.0;0;0;;15;62;1;0;0;0;;25;26;0;0;0;2;7;;;;11;;;;;21;1;0;0;0;0;181;3
64;3;2003;2003m03;20;3;São João de Meriti;3305109;Baixada Fluminense;20;0;0;20;4;24;7;186;11;4;42;22;10;13;45;61;6;14;2;0;0.0;3;3;;48;182;26;12;1;5;;88;132;0;0;0;17;14;;;;53;;;;;122;14;2;0;2;0;810;3
65;3;2003;2003m03;34;5;"Magé;Guapimirim";9999982;Baixada Fluminense;4;0;0;4;0;4;3;97;1;1;30;5;4;5;14;7;4;2;1;0;0.0;0;0;;5;33;3;2;0;0;;49;54;0;1;0;2;7;;;;8;;;;;98;1;2;0;0;0;326;3
66;3;2003;2003m03;34;5;Magé;3302502;Baixada Fluminense;8;0;0;8;1;9;2;66;3;0;12;2;3;2;7;6;1;0;1;0;0.0;0;0;;3;18;8;3;0;2;;29;42;0;0;0;3;4;;;;7;;;;;63;9;5;0;0;0;247;3
48;4;2003;2003m04;24;3;Seropédica;3305554;Baixada Fluminense;2;0;0;2;0;2;2;45;1;0;5;3;1;0;4;9;3;2;4;0;0.0;0;0;;7;29;4;2;0;0;;38;44;0;0;0;1;7;;;;7;;;;;34;5;0;0;0;0;194;3
50;4;2003;2003m04;24;3;Itaguaí;3302007;Baixada Fluminense;9;0;0;9;0;9;6;51;0;1;18;1;1;1;3;5;1;4;1;0;0.0;0;1;;5;20;22;1;2;2;;54;81;0;0;0;7;7;;;;8;;;;;53;1;0;0;0;0;276;3
51;4;2003;2003m04;24;3;Paracambi;3303609;Baixada Fluminense;0;0;0;0;0;0;2;33;1;0;7;1;0;0;1;3;3;0;0;0;0.0;0;0;;2;9;1;0;0;1;;15;17;0;0;0;7;1;;;;1;;;;;25;0;0;0;0;0;107;3
52;4;2003;2003m04;20;3;Nova Iguaçu;3303500;Baixada Fluminense;6;0;0;6;0;6;1;85;1;2;27;27;26;7;60;64;11;15;0;0;0.0;0;7;;40;197;32;9;0;8;;72;121;0;1;0;12;5;;;;15;;;;;55;2;1;0;0;0;530;3
53;4;2003;2003m04;20;3;Mesquita;3302858;Baixada Fluminense;4;0;0;4;1;5;2;63;2;5;20;20;6;4;30;22;4;10;1;0;0.0;1;1;;18;87;6;2;0;1;;43;52;0;0;0;1;6;;;;26;;;;;88;6;0;0;0;0;364;3
54;4;2003;2003m04;20;3;Belford Roxo;3300456;Baixada Fluminense;21;0;0;21;0;21;4;155;7;2;40;17;7;4;28;51;7;4;2;0;0.0;0;1;;30;123;12;5;0;0;;67;84;0;0;0;8;10;;;;38;;;;;153;14;6;0;0;0;652;3
55;4;2003;2003m04;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;16;0;0;16;1;17;6;82;3;2;10;6;3;3;12;12;8;1;1;0;0.0;0;4;;8;46;2;4;1;0;;42;49;0;0;0;2;13;;;;9;;;;;64;9;0;0;0;0;346;3
56;4;2003;2003m04;20;3;Nova Iguaçu;3303500;Baixada Fluminense;23;0;0;23;2;25;0;49;3;3;19;6;10;4;20;34;0;6;2;0;0.0;0;0;;20;82;5;0;0;0;;48;53;0;0;0;1;15;;;;19;;;;;67;13;3;0;0;0;367;3
57;4;2003;2003m04;20;3;Nilópolis;3303203;Baixada Fluminense;8;0;0;8;1;9;2;89;4;0;21;27;7;7;41;32;0;18;2;0;0.0;0;4;;33;130;20;6;0;3;;58;87;0;0;0;6;11;;;;29;;;;;64;6;0;0;0;0;448;3
58;4;2003;2003m04;20;3;Nova Iguaçu;3303500;Baixada Fluminense;29;2;0;31;3;34;5;101;12;2;20;3;7;2;12;58;1;4;3;0;0.0;0;1;;35;114;24;1;0;1;;131;157;0;0;0;1;7;;;;57;;;;;94;5;4;0;0;0;607;3
59;4;2003;2003m04;15;3;Duque de Caxias;3301702;Baixada Fluminense;14;1;0;15;8;23;5;165;4;6;79;58;54;32;144;147;17;32;3;0;0.0;0;22;;119;484;38;6;4;8;;102;158;0;0;0;15;24;;;;117;;;;;118;8;4;0;0;0;1149;3
60;4;2003;2003m04;15;3;Duque de Caxias;3301702;Baixada Fluminense;10;0;0;10;1;11;6;83;2;2;63;10;3;12;25;41;6;12;1;0;0.0;0;3;;28;116;11;4;0;0;;58;73;0;0;0;1;9;;;;34;;;;;42;2;0;2;0;0;414;3
61;4;2003;2003m04;15;3;Duque de Caxias;3301702;Baixada Fluminense;4;0;0;4;0;4;4;17;2;0;9;2;1;1;4;8;0;0;2;0;0.0;0;0;;2;16;1;1;0;0;;16;18;0;0;0;1;1;;;;10;;;;;25;0;0;0;0;0;97;3
62;4;2003;2003m04;15;3;Duque de Caxias;3301702;Baixada Fluminense;9;0;0;9;2;11;5;44;5;1;7;2;3;2;7;21;2;6;2;0;0.0;0;1;;11;50;4;0;1;0;;20;25;0;0;0;1;8;;;;11;;;;;29;3;0;0;0;0;204;3
64;4;2003;2003m04;21;3;São João de Meriti;3305109;Baixada Fluminense;24;0;3;27;3;30;3;164;6;6;56;29;16;14;59;63;6;7;2;0;0.0;2;3;;50;192;33;4;0;3;;75;115;1;0;0;11;25;;;;54;;;;;92;8;1;0;0;0;805;3
65;4;2003;2003m04;34;3;"Magé;Guapimirim";9999982;Baixada Fluminense;6;0;0;6;0;6;1;87;2;4;29;4;3;1;8;9;1;3;2;0;0.0;0;3;;5;31;2;2;0;0;;56;60;0;1;0;0;2;;;;4;;;;;80;2;2;0;0;0;303;3
66;4;2003;2003m04;34;3;Magé;3302502;Baixada Fluminense;4;0;0;4;2;6;3;37;8;0;14;5;1;1;7;11;3;2;2;0;0.0;0;1;;12;38;5;2;0;1;;49;57;0;1;0;1;9;;;;7;;;;;55;2;1;0;0;0;243;3
48;5;2003;2003m05;24;3;Seropédica;3305554;Baixada Fluminense;4;0;0;4;0;4;1;17;2;3;5;3;0;0;3;13;6;1;2;1;0.0;0;0;;4;30;3;0;0;0;;44;47;0;0;0;1;4;;;;11;;;;;26;3;0;0;0;0;169;3
50;5;2003;2003m05;24;3;Itaguaí;3302007;Baixada Fluminense;6;0;0;6;0;6;6;65;5;1;16;4;1;1;6;4;0;5;3;0;0.0;1;6;;2;27;15;4;0;0;;53;72;0;0;0;5;5;;;;7;;;;;57;5;0;0;0;0;285;3
51;5;2003;2003m05;24;3;Paracambi;3303609;Baixada Fluminense;3;0;0;3;0;3;0;23;0;3;4;0;0;0;0;3;2;0;0;0;0.0;0;0;;3;8;3;1;0;2;;20;26;0;0;0;1;3;;;;3;;;;;52;1;0;0;0;0;125;3
52;5;2003;2003m05;20;3;Nova Iguaçu;3303500;Baixada Fluminense;0;0;0;0;0;0;4;98;2;3;36;20;19;8;47;53;7;14;3;0;0.0;0;5;;48;177;35;6;0;3;;65;109;0;1;0;9;3;;;;19;;;;;118;3;0;1;0;0;560;3
53;5;2003;2003m05;20;3;Mesquita;3302858;Baixada Fluminense;5;0;1;6;2;8;5;68;5;3;14;16;13;12;41;22;0;5;2;0;0.0;0;2;;23;95;18;0;2;5;;46;71;0;0;0;4;6;;;;16;;;;;82;7;2;0;0;0;406;3
54;5;2003;2003m05;20;3;Belford Roxo;3300456;Baixada Fluminense;25;0;1;26;1;27;11;145;8;0;29;14;10;8;32;41;7;3;1;0;0.0;0;2;;37;123;20;1;1;2;;87;111;0;1;0;10;14;;;;34;;;;;129;16;0;0;0;0;668;3
55;5;2003;2003m05;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;17;0;0;17;0;17;5;63;2;1;17;4;1;1;6;13;4;1;3;0;0.0;0;0;;10;37;1;2;0;0;;41;44;0;0;0;4;11;;;;17;;;;;32;9;1;0;0;0;273;3
56;5;2003;2003m05;20;3;Nova Iguaçu;3303500;Baixada Fluminense;15;0;0;15;0;15;4;55;2;1;16;20;5;5;30;33;2;8;1;0;0.0;0;1;;32;107;8;6;1;2;;48;65;0;1;0;1;13;;;;29;;;;;66;7;1;0;0;0;386;3
57;5;2003;2003m05;20;3;Nilópolis;3303203;Baixada Fluminense;7;0;1;8;1;9;1;73;1;5;12;25;7;2;34;41;2;9;3;0;0.0;1;2;;43;135;26;7;0;2;;47;82;0;0;0;9;16;;;;40;;;;;37;9;0;0;0;0;419;3
58;5;2003;2003m05;20;3;Nova Iguaçu;3303500;Baixada Fluminense;39;0;0;39;2;41;4;98;0;6;40;4;6;9;19;51;1;4;3;0;0.0;0;0;;30;108;11;0;0;2;;63;76;0;1;0;4;7;;;;33;;;;;110;7;0;0;0;0;533;3
59;5;2003;2003m05;15;3;Duque de Caxias;3301702;Baixada Fluminense;17;0;0;17;8;25;9;139;6;6;88;54;48;32;134;157;11;25;4;0;0.0;0;19;;118;468;46;22;1;11;;157;237;0;2;0;22;32;;;;97;;;;;138;17;5;0;0;0;1240;3
60;5;2003;2003m05;15;3;Duque de Caxias;3301702;Baixada Fluminense;13;0;0;13;1;14;5;68;4;5;69;12;3;18;33;40;9;6;0;0;0.0;0;4;;22;114;13;0;1;2;;59;75;0;0;0;0;7;;;;54;;;;;50;10;5;0;0;0;470;3
61;5;2003;2003m05;15;3;Duque de Caxias;3301702;Baixada Fluminense;1;0;0;1;0;1;0;12;1;0;15;0;0;0;0;3;1;1;0;0;0.0;0;1;;3;9;3;0;0;0;;13;16;0;1;0;0;1;;;;11;;;;;13;0;1;0;0;0;75;3
62;5;2003;2003m05;15;3;Duque de Caxias;3301702;Baixada Fluminense;8;0;0;8;1;9;2;23;5;1;13;6;1;5;12;14;3;3;2;0;0.0;0;0;;14;48;6;0;0;1;;19;26;0;0;0;3;7;;;;18;;;;;26;2;3;1;0;0;194;3
64;5;2003;2003m05;21;3;São João de Meriti;3305109;Baixada Fluminense;17;0;0;17;3;20;14;215;4;3;54;19;16;12;47;69;1;14;2;0;0.0;0;11;;58;202;27;8;1;1;;93;130;0;1;0;13;18;;;;66;;;;;98;7;1;0;0;0;870;3
65;5;2003;2003m05;34;3;"Magé;Guapimirim";9999982;Baixada Fluminense;4;0;0;4;0;4;0;77;1;1;27;4;1;2;7;14;6;2;2;0;0.0;0;1;;6;38;8;0;0;1;;56;65;0;0;0;3;13;;;;20;;;;;75;7;1;0;0;0;326;3
66;5;2003;2003m05;34;3;Magé;3302502;Baixada Fluminense;5;0;0;5;0;5;1;27;0;0;24;3;2;2;7;9;1;1;4;0;0.0;0;1;;5;28;5;0;0;0;;23;28;0;0;0;4;5;;;;2;;;;;36;5;2;0;0;0;212;3
48;6;2003;2003m06;24;3;Seropédica;3305554;Baixada Fluminense;5;0;0;5;0;5;3;28;0;5;22;2;4;0;6;10;1;0;0;0;0.0;0;0;;7;24;4;1;0;0;;27;32;0;0;0;1;3;;;;10;;;;;22;2;2;0;0;0;178;3
50;6;2003;2003m06;24;3;Itaguaí;3302007;Baixada Fluminense;9;0;0;9;0;9;6;58;1;5;46;5;1;4;10;5;0;2;11;0;0.0;0;2;;3;33;9;2;0;2;;35;48;0;0;0;4;2;;;;8;;;;;36;0;0;0;0;0;249;3
51;6;2003;2003m06;24;3;Paracambi;3303609;Baixada Fluminense;0;0;0;0;1;1;0;24;0;0;6;0;0;0;0;2;1;0;0;0;0.0;0;1;;1;5;0;0;0;1;;15;16;0;0;0;1;1;;;;2;;;;;23;1;0;0;0;0;102;3
52;6;2003;2003m06;20;3;Nova Iguaçu;3303500;Baixada Fluminense;2;0;0;2;0;2;5;86;2;6;38;40;13;4;57;74;19;11;2;0;0.0;0;7;;47;217;28;15;0;4;;56;103;0;1;0;13;1;;;;28;;;;;116;2;0;0;0;0;632;3
53;6;2003;2003m06;20;3;Mesquita;3302858;Baixada Fluminense;8;0;0;8;1;9;0;73;5;3;24;14;5;7;26;23;2;4;1;0;0.0;0;2;;21;79;10;2;0;1;;41;54;0;0;0;7;7;;;;27;;;;;75;5;4;1;0;0;389;3
54;6;2003;2003m06;20;3;Belford Roxo;3300456;Baixada Fluminense;20;0;1;21;2;23;10;150;13;4;34;20;8;6;34;50;5;7;0;0;0.0;0;2;;43;141;15;3;0;2;;113;133;0;0;0;7;20;;;;26;;;;;114;22;0;0;0;0;733;3
55;6;2003;2003m06;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;13;0;1;14;0;14;5;75;8;3;27;2;2;4;8;12;7;1;1;0;0.0;0;0;;8;37;4;0;1;4;;39;48;0;1;0;3;8;;;;9;;;;;60;8;0;0;0;0;324;3
56;6;2003;2003m06;20;3;Nova Iguaçu;3303500;Baixada Fluminense;19;0;0;19;0;19;5;71;0;9;20;12;3;4;19;35;3;8;2;0;0.0;0;1;;28;96;5;1;0;0;;40;46;0;0;0;4;8;;;;17;;;;;66;5;1;0;0;0;376;3
