ID_Venda,ID_Cliente,ID_Produto,Data,Quantidade,Canal,Valor_Total,ID_CAMPANHA
143,187,55,2024-02-12 00:00:00,1,Loja Física,193.81,16
144,345,31,2022-02-01 00:00:00,2,Online,8083.26,12
145,224,33,2024-08-30 00:00:00,1,Loja Física,3006.48,20
146,830,87,2022-09-11 00:00:00,2,Loja Física,9972.94,17
147,488,60,2022-07-24 00:00:00,4,Loja Física,16135.08,17
148,909,41,2024-05-09 00:00:00,1,Loja Física,2551.76,9
149,877,81,2022-01-21 00:00:00,3,Online,12986.04,12
150,849,46,2023-09-29 00:00:00,3,Online,2596.23,5
151,229,49,2022-06-06 00:00:00,2,Loja Física,1957.68,8
152,390,65,2022-09-02 00:00:00,2,Loja Física,1706.18,17
153,979,42,2022-05-10 00:00:00,2,Online,6970.66,2
154,589,23,2023-04-30 00:00:00,2,Online,9296.18,7
155,188,27,2023-11-17 00:00:00,4,Online,4548.08,18
156,858,89,2022-04-28 00:00:00,3,Online,13491.27,2
157,270,32,2023-08-01 00:00:00,2,Loja Física,7207.98,14
158,607,83,2024-08-28 00:00:00,1,Online,1063.6,20
159,310,88,2022-08-12 00:00:00,1,Online,247.13,17
160,132,3,2023-04-22 00:00:00,4,Loja Física,4947.56,7
161,551,60,2023-12-18 00:00:00,2,Loja Física,8067.54,18
162,72,76,2022-09-20 00:00:00,1,Online,3073.55,17
163,793,99,2024-02-25 00:00:00,2,Loja Física,8554.96,16
164,845,79,2023-01-13 00:00:00,1,Online,3329.32,3
165,672,17,2022-06-21 00:00:00,4,Loja Física,15231.92,8
166,187,32,2023-09-13 00:00:00,1,Online,3603.99,5
167,486,7,2023-09-14 00:00:00,2,Loja Física,7670.56,5
168,191,83,2024-09-13 00:00:00,2,Online,2127.2,20
169,422,71,2024-02-05 00:00:00,4,Loja Física,7356.52,16
170,120,69,2024-01-06 00:00:00,3,Online,8872.89,18
171,220,58,2022-04-28 00:00:00,2,Loja Física,7056.46,2
172,53,40,2024-03-07 00:00:00,3,Loja Física,2760.15,16
173,734,85,2024-04-18 00:00:00,2,Loja Física,3007.9,9
174,451,48,2022-06-17 00:00:00,4,Loja Física,12146.32,8
175,412,51,2024-09-14 00:00:00,1,Loja Física,2330.34,20
176,643,57,2022-11-15 00:00:00,3,Online,9262.56,11
177,237,71,2022-04-21 00:00:00,1,Loja Física,1839.13,2
178,758,37,2023-08-16 00:00:00,4,Loja Física,13679.6,14
179,738,87,2022-01-27 00:00:00,4,Online,19945.88,12
180,720,75,2024-08-09 00:00:00,4,Online,2057.48,4
181,406,74,2022-11-16 00:00:00,2,Loja Física,4348.68,11
182,608,85,2023-08-13 00:00:00,2,Loja Física,3007.9,14
183,422,55,2023-11-25 00:00:00,2,Loja Física,387.62,18
184,712,41,2024-07-18 00:00:00,2,Online,51035.200000000004,4
185,247,97,2024-09-08 00:00:00,3,Loja Física,14637.54,20
186,72,20,2023-01-20 00:00:00,4,Online,8028.92,3
187,830,33,2023-02-11 00:00:00,3,Online,9019.44,3
188,185,40,2024-08-22 00:00:00,2,Online,1840.1,20
189,6,99,2024-01-03 00:00:00,1,Loja Física,4277.48,18
190,206,34,2022-07-23 00:00:00,3,Loja Física,1084.23,8
191,544,62,2022-03-19 00:00:00,1,Loja Física,2726.08,2
192,611,91,2023-08-30 00:00:00,2,Loja Física,9739.14,14
193,906,19,2023-12-09 00:00:00,3,Online,10698.75,18
194,387,43,2024-04-30 00:00:00,3,Loja Física,10547.91,9
195,768,69,2023-10-05 00:00:00,3,Online,8872.89,5
196,699,63,2022-09-06 00:00:00,1,Loja Física,2493.63,17
197,76,93,2022-04-15 00:00:00,2,Online,8504.4,2
198,177,10,2023-12-15 00:00:00,4,Loja Física,12542.72,18
199,827,13,2024-03-02 00:00:00,4,Loja Física,17342.88,16
200,799,93,2022-11-05 00:00:00,2,Online,8504.4,11
201,349,5,2024-05-20 00:00:00,3,Loja Física,11535.99,9
202,255,58,2023-12-02 00:00:00,4,Loja Física,14112.92,18
203,837,59,2023-09-07 00:00:00,3,Online,12620.88,5
204,702,76,2024-04-04 00:00:00,2,Online,6147.1,9
205,308,59,2022-05-04 00:00:00,1,Online,4206.96,2
206,345,77,2024-03-26 00:00:00,3,Online,13250.31,16
207,127,86,2023-08-03 00:00:00,1,Loja Física,4032.94,14
208,937,15,2024-03-12 00:00:00,1,Loja Física,2946.66,16
209,287,77,2022-02-12 00:00:00,2,Online,8833.54,12
210,766,1,2022-12-22 00:00:00,2,Loja Física,3265.22,3
211,725,38,2023-06-30 00:00:00,1,Loja Física,1928.3,14
212,762,53,2023-03-15 00:00:00,1,Online,4203.1,19
213,596,52,2023-11-09 00:00:00,4,Online,13488.12,5
214,487,1,2023-01-15 00:00:00,4,Loja Física,6530.44,3
215,383,11,2022-03-12 00:00:00,2,Loja Física,5721.28,2
216,406,58,2023-06-03 00:00:00,3,Online,10584.69,7
217,388,40,2023-10-26 00:00:00,1,Online,920.05,5
218,525,86,2022-12-16 00:00:00,3,Online,12098.82,3
219,557,99,2022-01-13 00:00:00,1,Loja Física,4277.48,12
220,639,60,2024-05-19 00:00:00,2,Online,8067.54,9
221,938,44,2023-03-07 00:00:00,3,Online,9834.99,19
222,626,6,2024-04-22 00:00:00,2,Loja Física,6312.68,9
223,945,28,2023-05-17 00:00:00,1,Online,4978.59,7
224,276,31,2022-04-19 00:00:00,2,Online,8083.26,2
225,500,8,2023-03-20 00:00:00,3,Online,872.4,19
226,717,5,2024-09-10 00:00:00,4,Loja Física,15381.32,20
227,337,54,2023-01-06 00:00:00,2,Loja Física,1863.34,3
228,950,17,2023-10-13 00:00:00,3,Online,11423.94,5
229,932,38,2024-07-01 00:00:00,2,Loja Física,3856.6,4
230,481,9,2024-04-28 00:00:00,2,Online,8403.78,9
231,897,74,2023-04-16 00:00:00,4,Loja Física,8697.36,19
232,911,84,2023-12-26 00:00:00,3,Loja Física,11140.17,18
233,973,78,2022-06-06 00:00:00,3,Online,13278.84,8
234,273,14,2023-03-22 00:00:00,3,Online,8927.97,19
235,920,26,2022-06-30 00:00:00,1,Loja Física,2685.62,8
236,58,93,2024-01-22 00:00:00,2,Loja Física,8504.4,16
237,328,62,2023-06-19 00:00:00,4,Loja Física,10904.32,7
238,731,91,2024-09-15 00:00:00,3,Loja Física,14608.71,20
239,109,25,2023-10-29 00:00:00,4,Online,7101.36,5
240,279,80,2022-10-04 00:00:00,1,Loja Física,1135.04,11
241,686,36,2023-09-23 00:00:00,1,Online,3406.45,5
242,328,98,2024-04-07 00:00:00,4,Online,16412.68,9
243,776,80,2024-07-30 00:00:00,3,Loja Física,3405.12,4
244,315,33,2023-07-06 00:00:00,4,Loja Física,12025.92,14
245,474,3,2024-03-04 00:00:00,3,Loja Física,3710.67,16
246,111,87,2023-05-11 00:00:00,3,Online,14959.41,7
247,699,11,2023-04-22 00:00:00,1,Online,2860.64,7
248,781,58,2023-03-23 00:00:00,4,Loja Física,14112.92,19
249,935,64,2024-04-25 00:00:00,1,Loja Física,2069.25,9
250,229,18,2024-01-19 00:00:00,2,Loja Física,4534.48,16
251,497,47,2023-08-30 00:00:00,1,Online,3216.11,14
252,156,44,2022-10-02 00:00:00,3,Online,9834.99,11
253,473,93,2022-11-27 00:00:00,4,Loja Física,17008.8,11
254,701,59,2024-05-22 00:00:00,2,Online,8413.92,9
255,272,50,2022-09-09 00:00:00,2,Online,7110.36,17
256,887,69,2024-04-30 00:00:00,2,Online,5915.26,9
257,2,88,2024-08-15 00:00:00,2,Online,494.26,20
258,758,29,2022-03-30 00:00:00,4,Loja Física,19629.92,2
259,722,93,2022-10-13 00:00:00,3,Loja Física,12756.6,11
260,511,90,2024-06-21 00:00:00,2,Loja Física,6301.78,4
261,913,67,2023-04-07 00:00:00,3,Online,4372.08,19
262,286,2,2022-09-07 00:00:00,1,Loja Física,3306.28,17
263,871,25,2024-02-08 00:00:00,3,Loja Física,5326.02,16
264,13,19,2023-04-21 00:00:00,2,Online,7132.5,19
265,608,40,2023-08-07 00:00:00,1,Online,920.05,14
266,498,2,2023-09-17 00:00:00,1,Online,3306.28,5
267,733,83,2023-11-16 00:00:00,1,Loja Física,1063.6,18
268,238,65,2023-01-24 00:00:00,2,Loja Física,1706.18,3
269,94,62,2022-12-11 00:00:00,3,Online,8178.24,3
270,338,91,2022-01-30 00:00:00,4,Loja Física,19478.28,12
271,781,54,2023-05-22 00:00:00,3,Loja Física,2795.01,7
272,171,45,2024-05-21 00:00:00,2,Online,2897.82,9
273,981,49,2022-11-29 00:00:00,2,Online,1957.68,11
274,606,99,2022-07-06 00:00:00,1,Loja Física,4277.48,8
275,661,69,2023-05-15 00:00:00,3,Loja Física,8872.89,7
276,624,38,2022-08-06 00:00:00,2,Online,3856.6,17
277,567,4,2022-12-30 00:00:00,2,Online,340.94,3
278,849,17,2024-03-27 00:00:00,4,Online,15231.92,9
279,936,53,2022-09-22 00:00:00,3,Online,12609.3,17
280,467,85,2022-12-15 00:00:00,1,Loja Física,1503.95,3
281,628,53,2022-10-14 00:00:00,1,Loja Física,4203.1,11
282,143,31,2024-06-20 00:00:00,1,Loja Física,4041.63,4
283,201,22,2023-09-03 00:00:00,3,Loja Física,9073.71,14
284,180,11,2023-12-20 00:00:00,2,Loja Física,5721.28,18
285,714,34,2024-06-20 00:00:00,2,Online,722.82,4
286,364,15,2022-10-10 00:00:00,4,Online,11786.64,11
287,479,10,2023-07-24 00:00:00,4,Online,12542.72,14
288,565,96,2022-01-11 00:00:00,2,Online,856.76,12
289,471,53,2023-06-14 00:00:00,2,Loja Física,8406.2,7
290,384,48,2024-08-28 00:00:00,3,Loja Física,9109.74,20
291,692,31,2022-07-15 00:00:00,4,Online,16166.52,8
292,926,37,2022-03-29 00:00:00,1,Loja Física,3419.9,2
293,417,28,2022-09-05 00:00:00,1,Online,4978.59,17
294,825,31,2024-01-08 00:00:00,1,Loja Física,4041.63,18
295,308,70,2023-02-21 00:00:00,1,Loja Física,3004.92,19
296,649,14,2023-05-16 00:00:00,2,Loja Física,5951.98,7
297,694,87,2023-07-23 00:00:00,2,Loja Física,9972.94,14
298,367,16,2024-02-16 00:00:00,3,Loja Física,14862.99,16
299,1,25,2022-09-04 00:00:00,1,Loja Física,1775.34,17
300,44,39,2023-12-09 00:00:00,2,Loja Física,9428.58,18
301,739,66,2023-05-03 00:00:00,2,Online,5811.56,7
302,843,38,2023-10-24 00:00:00,2,Online,3856.6,5
303,98,41,2023-12-30 00:00:00,1,Loja Física,2551.76,18
304,720,98,2023-05-18 00:00:00,2,Online,8206.34,7
305,265,40,2023-04-04 00:00:00,4,Online,3680.2,19
306,800,64,2024-03-22 00:00:00,1,Online,2069.25,16
307,783,89,2022-01-18 00:00:00,1,Online,4497.09,12
308,140,16,2022-04-06 00:00:00,4,Online,19817.32,2
309,481,82,2022-10-29 00:00:00,3,Loja Física,13325.58,11
310,237,77,2022-08-15 00:00:00,3,Loja Física,13250.31,17
311,974,59,2023-02-19 00:00:00,1,Loja Física,4206.96,19
312,953,91,2023-12-10 00:00:00,1,Online,4869.57,18
313,904,98,2022-09-07 00:00:00,1,Online,4103.17,17
314,72,11,2022-11-10 00:00:00,4,Loja Física,11442.56,11
315,667,1,2023-11-11 00:00:00,2,Online,3265.22,5
316,190,13,2023-08-19 00:00:00,4,Loja Física,17342.88,14
317,268,30,2023-01-13 00:00:00,2,Loja Física,6565.18,3
318,321,69,2023-04-30 00:00:00,2,Online,5915.26,7
319,107,18,2023-07-21 00:00:00,3,Online,6801.72,14
320,232,78,2023-06-28 00:00:00,4,Online,17705.12,7
321,42,13,2022-12-19 00:00:00,4,Loja Física,17342.88,3
322,702,32,2023-03-12 00:00:00,1,Loja Física,3603.99,19
323,883,71,2024-02-03 00:00:00,4,Loja Física,7356.52,16
324,139,72,2023-07-18 00:00:00,2,Loja Física,709.5,14
325,615,50,2022-12-05 00:00:00,2,Online,7110.36,11
326,683,71,2022-12-27 00:00:00,4,Loja Física,7356.52,3
327,863,80,2023-12-21 00:00:00,3,Online,3405.12,18
328,273,31,2023-04-10 00:00:00,3,Loja Física,12124.89,19
329,481,51,2022-10-05 00:00:00,1,Loja Física,2330.34,11
330,416,27,2022-11-10 00:00:00,1,Loja Física,1137.02,11
331,506,60,2022-09-15 00:00:00,2,Loja Física,8067.54,17
332,733,33,2022-08-25 00:00:00,4,Loja Física,12025.92,17
333,725,53,2022-05-04 00:00:00,2,Loja Física,8406.2,2
334,853,93,2024-01-09 00:00:00,2,Online,8504.4,18
335,424,72,2022-07-17 00:00:00,4,Loja Física,1419,8
336,407,33,2022-11-20 00:00:00,2,Online,6012.96,11
337,568,41,2022-05-03 00:00:00,2,Online,5103.52,2
338,390,19,2024-01-31 00:00:00,3,Loja Física,10698.75,16
339,342,85,2023-07-03 00:00:00,1,Loja Física,1503.95,14
340,946,41,2024-08-31 00:00:00,3,Loja Física,7655.28,20
341,614,85,2024-02-20 00:00:00,1,Online,1503.95,16
342,933,89,2023-12-08 00:00:00,1,Online,4497.09,18
343,493,42,2022-07-09 00:00:00,1,Online,3485.33,8
344,192,23,2022-07-16 00:00:00,3,Online,13944.27,8
345,499,75,2022-08-10 00:00:00,4,Loja Física,2057.48,17
346,822,33,2024-01-27 00:00:00,2,Online,6012.96,16
347,712,20,2023-05-11 00:00:00,4,Online,8028.92,7
348,233,25,2022-10-11 00:00:00,4,Online,7101.36,11
349,945,90,2024-01-12 00:00:00,1,Online,3150.89,18
350,227,52,2023-08-27 00:00:00,1,Loja Física,3372.03,14
351,371,12,2024-09-27 00:00:00,3,Loja Física,9481.83,20
352,139,32,2024-02-18 00:00:00,3,Loja Física,10811.97,16
353,856,33,2023-06-22 00:00:00,2,Loja Física,6012.96,7
354,817,74,2023-09-04 00:00:00,4,Loja Física,8697.36,14
355,149,68,2022-10-17 00:00:00,4,Online,18457.64,11
356,115,15,2022-04-13 00:00:00,2,Online,5893.32,2
357,450,51,2024-05-02 00:00:00,1,Online,2330.34,9
358,63,6,2022-07-18 00:00:00,3,Online,9469.02,8
359,104,91,2022-10-31 00:00:00,2,Online,9739.14,11
360,851,69,2022-08-21 00:00:00,4,Loja Física,11830.52,17
361,871,69,2023-01-05 00:00:00,2,Online,5915.26,3
362,668,82,2022-07-03 00:00:00,2,Loja Física,8883.72,8
363,273,92,2022-11-06 00:00:00,4,Loja Física,9514.2,11
364,6,35,2022-01-15 00:00:00,4,Loja Física,9313.4,12
365,147,86,2023-12-27 00:00:00,3,Online,12098.82,18
366,184,34,2023-07-01 00:00:00,3,Online,1084.23,14
367,998,63,2022-05-10 00:00:00,4,Online,9974.52,2
368,28,68,2022-10-08 00:00:00,3,Loja Física,13843.23,11
369,962,18,2022-02-16 00:00:00,3,Loja Física,6801.72,12
370,550,26,2024-09-24 00:00:00,3,Online,8056.86,20
371,119,86,2022-02-25 00:00:00,4,Loja Física,16131.76,12
372,293,97,2023-07-21 00:00:00,1,Loja Física,4879.18,14
373,371,61,2022-10-27 00:00:00,1,Loja Física,4808.51,11
374,244,78,2023-12-16 00:00:00,3,Online,13278.84,18
375,580,95,2024-08-24 00:00:00,1,Loja Física,1742.87,20
376,726,74,2022-05-10 00:00:00,3,Online,6523.02,2
377,218,88,2023-10-16 00:00:00,1,Online,247.13,5
378,177,85,2024-06-08 00:00:00,1,Loja Física,1503.95,4
379,299,48,2024-02-10 00:00:00,2,Loja Física,6073.16,16
380,676,72,2023-05-18 00:00:00,3,Loja Física,1064.25,7
381,58,96,2022-04-16 00:00:00,1,Online,428.38,2
382,269,31,2024-06-12 00:00:00,1,Online,4041.63,4
383,308,34,2022-01-13 00:00:00,2,Loja Física,722.82,12
384,570,87,2023-08-11 00:00:00,1,Loja Física,4986.47,14
385,288,89,2022-10-19 00:00:00,2,Online,8994.18,11
386,977,7,2023-04-26 00:00:00,1,Loja Física,3835.28,7
387,105,83,2023-05-06 00:00:00,2,Online,2127.2,7
388,228,7,2023-03-28 00:00:00,2,Loja Física,7670.56,19
389,247,47,2022-12-15 00:00:00,4,Loja Física,12864.44,3
390,700,8,2022-07-08 00:00:00,3,Loja Física,872.4,8
391,494,78,2024-09-15 00:00:00,4,Online,17705.12,20
392,83,1,2022-02-22 00:00:00,3,Loja Física,4897.83,12
393,186,77,2022-09-16 00:00:00,1,Loja Física,4416.77,17
394,252,3,2024-08-21 00:00:00,3,Online,3710.67,20
395,355,53,2024-06-01 00:00:00,4,Online,16812.4,9
396,750,92,2023-05-05 00:00:00,3,Online,7135.65,7
397,872,38,2022-04-27 00:00:00,4,Online,7713.2,2
398,696,51,2024-04-21 00:00:00,3,Online,6991.02,9
399,796,15,2022-03-08 00:00:00,1,Online,2946.66,12
400,897,67,2023-02-15 00:00:00,1,Online,1457.36,19
401,938,64,2023-05-19 00:00:00,3,Online,6207.75,7
402,210,68,2022-03-17 00:00:00,3,Loja Física,13843.23,2
403,816,5,2023-08-14 00:00:00,1,Loja Física,3845.33,14
404,808,90,2023-10-07 00:00:00,3,Loja Física,9452.67,5
405,609,89,2023-12-04 00:00:00,2,Loja Física,8994.18,18
406,447,10,2022-02-24 00:00:00,1,Online,3135.68,12
407,460,8,2022-06-05 00:00:00,1,Online,290.8,8
408,968,12,2022-06-02 00:00:00,4,Online,12642.44,8
409,472,64,2024-04-10 00:00:00,4,Online,8277,9
410,720,59,2023-07-31 00:00:00,2,Online,8413.92,14
411,370,67,2024-08-29 00:00:00,3,Loja Física,4372.08,20
412,900,91,2022-11-08 00:00:00,2,Loja Física,9739.14,11
413,934,50,2022-03-29 00:00:00,3,Online,10665.54,2
414,492,23,2022-09-12 00:00:00,4,Loja Física,18592.36,17
415,923,40,2022-05-02 00:00:00,3,Online,2760.15,2
416,137,97,2023-07-26 00:00:00,4,Online,19516.72,14
417,367,78,2024-02-22 00:00:00,1,Loja Física,4426.28,16
418,912,87,2023-03-03 00:00:00,1,Loja Física,4986.47,19
419,184,95,2023-09-13 00:00:00,3,Online,5228.61,5
420,588,77,2023-09-03 00:00:00,4,Loja Física,17667.08,14
421,287,76,2024-03-20 00:00:00,2,Online,6147.1,16
422,472,99,2023-09-26 00:00:00,4,Online,17109.92,5
423,375,18,2022-08-20 00:00:00,4,Loja Física,9068.96,17
424,654,21,2024-03-05 00:00:00,4,Online,4885.96,16
425,749,1,2023-06-20 00:00:00,1,Online,1632.61,7
426,537,38,2023-01-25 00:00:00,4,Loja Física,7713.2,3
