ID_Venda;ID_Cliente;ID_Produto;Data;Quantidade;Canal;Valor_Total;faixa_etaria
140;439;59;2024-09-07;4;Loja Física;16827.84;Adulto
141;807;99;2023-10-30;1;Online;4277.48;Jovem
142;708;28;2022-02-11;4;Online;19914.36;Adulto
143;187;55;2024-02-12;1;Loja Física;193.81;Adulto
144;345;31;2022-02-01;2;Online;8083.26;Adulto
145;224;33;2024-08-30;1;Loja Física;3006.48;Idoso
146;830;87;2022-09-11;2;Loja Física;9972.94;Adulto
147;488;60;2022-07-24;4;Loja Física;16135.08;Adulto
148;909;41;2024-05-09;1;Loja Física;2551.76;Adulto
149;877;81;2022-01-21;3;Online;12986.04;Adulto
150;849;46;2023-09-29;3;Online;2596.23;Adulto
151;229;49;2022-06-06;2;Loja Física;1957.68;Adulto
152;390;65;2022-09-02;2;Loja Física;1706.18;Adulto
153;979;42;2022-05-10;2;Online;6970.66;Adulto
154;589;23;2023-04-30;2;Online;9296.18;Adulto
155;188;27;2023-11-17;4;Online;4548.08;Adulto
156;858;89;2022-04-28;3;Online;13491.27;Adulto
157;270;32;2023-08-01;2;Loja Física;7207.98;Adulto
158;607;83;2024-08-28;1;Online;1063.6;Adulto
159;310;88;2022-08-12;1;Online;247.13;Adulto
160;132;3;2023-04-22;4;Loja Física;4947.56;Adulto
161;551;60;2023-12-18;2;Loja Física;8067.54;Adulto
162;72;76;2022-09-20;1;Online;3073.55;Adulto
163;793;99;2024-02-25;2;Loja Física;8554.96;Adulto
164;845;79;2023-01-13;1;Online;3329.32;Idoso
165;672;17;2022-06-21;4;Loja Física;15231.92;Adulto
166;187;32;2023-09-13;1;Online;3603.99;Adulto
167;486;7;2023-09-14;2;Loja Física;7670.56;Adulto
168;191;83;2024-09-13;2;Online;2127.2;Adulto
169;422;71;2024-02-05;4;Loja Física;7356.52;Adulto
170;120;69;2024-01-06;3;Online;8872.89;Adulto
171;220;58;2022-04-28;2;Loja Física;7056.46;Adulto
172;53;40;2024-03-07;3;Loja Física;2760.15;Adulto
173;734;85;2024-04-18;2;Loja Física;3007.9;Adulto
174;451;48;2022-06-17;4;Loja Física;12146.32;Adulto
175;412;51;2024-09-14;1;Loja Física;2330.34;Adulto
176;643;57;2022-11-15;3;Online;9262.56;Adulto
177;237;71;2022-04-21;1;Loja Física;1839.13;Adulto
178;758;37;2023-08-16;4;Loja Física;13679.6;Adulto
179;738;87;2022-01-27;4;Online;19945.88;Adulto
180;720;75;2024-08-09;4;Online;2057.48;Idoso
181;406;74;2022-11-16;2;Loja Física;4348.68;Adulto
182;608;85;2023-08-13;2;Loja Física;3007.9;Adulto
183;422;55;2023-11-25;2;Loja Física;387.62;Adulto
184;712;41;2024-07-18;2;Online;51035.2;Adulto
185;247;97;2024-09-08;3;Loja Física;14637.54;Adulto
186;72;20;2023-01-20;4;Online;8028.92;Adulto
187;830;33;2023-02-11;3;Online;9019.44;Adulto
188;185;40;2024-08-22;2;Online;1840.1;Idoso
189;6;99;2024-01-03;1;Loja Física;4277.48;Adulto
190;206;34;2022-07-23;3;Loja Física;1084.23;Adulto
191;544;62;2022-03-19;1;Loja Física;2726.08;Jovem
192;611;91;2023-08-30;2;Loja Física;9739.14;Idoso
193;906;19;2023-12-09;3;Online;10698.75;Adulto
194;387;43;2024-04-30;3;Loja Física;10547.91;Idoso
195;768;69;2023-10-05;3;Online;8872.89;Adulto
196;699;63;2022-09-06;1;Loja Física;2493.63;Adulto
197;76;93;2022-04-15;2;Online;8504.4;Adulto
198;177;10;2023-12-15;4;Loja Física;12542.72;Adulto
199;827;13;2024-03-02;4;Loja Física;17342.88;Adulto
200;799;93;2022-11-05;2;Online;8504.4;Adulto
201;349;5;2024-05-20;3;Loja Física;11535.99;Idoso
202;255;58;2023-12-02;4;Loja Física;14112.92;Idoso
203;837;59;2023-09-07;3;Online;12620.88;Adulto
204;702;76;2024-04-04;2;Online;6147.1;Adulto
205;308;59;2022-05-04;1;Online;4206.96;Adulto
206;345;77;2024-03-26;3;Online;13250.31;Adulto
207;127;86;2023-08-03;1;Loja Física;4032.94;Adulto
208;937;15;2024-03-12;1;Loja Física;2946.66;Adulto
209;287;77;2022-02-12;2;Online;8833.54;Adulto
210;766;1;2022-12-22;2;Loja Física;3265.22;Adulto
211;725;38;2023-06-30;1;Loja Física;1928.3;Adulto
212;762;53;2023-03-15;1;Online;4203.1;Adulto
213;596;52;2023-11-09;4;Online;13488.12;Idoso
214;487;1;2023-01-15;4;Loja Física;6530.44;Adulto
215;383;11;2022-03-12;2;Loja Física;5721.28;Adulto
216;406;58;2023-06-03;3;Online;10584.69;Adulto
217;388;40;2023-10-26;1;Online;920.05;Adulto
218;525;86;2022-12-16;3;Online;12098.82;Adulto
219;557;99;2022-01-13;1;Loja Física;4277.48;Adulto
220;639;60;2024-05-19;2;Online;8067.54;Adulto
221;938;44;2023-03-07;3;Online;9834.99;Idoso
222;626;6;2024-04-22;2;Loja Física;6312.68;Adulto
223;945;28;2023-05-17;1;Online;4978.59;Adulto
224;276;31;2022-04-19;2;Online;8083.26;Adulto
225;500;8;2023-03-20;3;Online;872.4;Jovem
226;717;5;2024-09-10;4;Loja Física;15381.32;Adulto
227;337;54;2023-01-06;2;Loja Física;1863.34;Adulto
228;950;17;2023-10-13;3;Online;11423.94;Adulto
229;932;38;2024-07-01;2;Loja Física;3856.6;Adulto
230;481;9;2024-04-28;2;Online;8403.78;Adulto
231;897;74;2023-04-16;4;Loja Física;8697.36;Adulto
232;911;84;2023-12-26;3;Loja Física;11140.17;Adulto
233;973;78;2022-06-06;3;Online;13278.84;Adulto
234;273;14;2023-03-22;3;Online;8927.97;Adulto
235;920;26;2022-06-30;1;Loja Física;2685.62;Idoso
236;58;93;2024-01-22;2;Loja Física;8504.4;Idoso
237;328;62;2023-06-19;4;Loja Física;10904.32;Idoso
238;731;91;2024-09-15;3;Loja Física;14608.71;Idoso
239;109;25;2023-10-29;4;Online;7101.36;Adulto
240;279;80;2022-10-04;1;Loja Física;1135.04;Jovem
241;686;36;2023-09-23;1;Online;3406.45;Adulto
242;328;98;2024-04-07;4;Online;16412.68;Idoso
243;776;80;2024-07-30;3;Loja Física;3405.12;Idoso
244;315;33;2023-07-06;4;Loja Física;12025.92;Idoso
245;474;3;2024-03-04;3;Loja Física;3710.67;Adulto
246;111;87;2023-05-11;3;Online;14959.41;Adulto
247;699;11;2023-04-22;1;Online;2860.64;Adulto
248;781;58;2023-03-23;4;Loja Física;14112.92;Adulto
249;935;64;2024-04-25;1;Loja Física;2069.25;Adulto
250;229;18;2024-01-19;2;Loja Física;4534.48;Adulto
251;497;47;2023-08-30;1;Online;3216.11;Adulto
252;156;44;2022-10-02;3;Online;9834.99;Adulto
253;473;93;2022-11-27;4;Loja Física;17008.8;Adulto
254;701;59;2024-05-22;2;Online;8413.92;Adulto
255;272;50;2022-09-09;2;Online;7110.36;Idoso
256;887;69;2024-04-30;2;Online;5915.26;Adulto
257;2;88;2024-08-15;2;Online;494.26;Idoso
258;758;29;2022-03-30;4;Loja Física;19629.92;Adulto
259;722;93;2022-10-13;3;Loja Física;12756.6;Adulto
260;511;90;2024-06-21;2;Loja Física;6301.78;Adulto
261;913;67;2023-04-07;3;Online;4372.08;Adulto
262;286;2;2022-09-07;1;Loja Física;3306.28;Adulto
263;871;25;2024-02-08;3;Loja Física;5326.02;Idoso
264;13;19;2023-04-21;2;Online;7132.5;Adulto
265;608;40;2023-08-07;1;Online;920.05;Adulto
266;498;2;2023-09-17;1;Online;3306.28;Adulto
267;733;83;2023-11-16;1;Loja Física;1063.6;Adulto
268;238;65;2023-01-24;2;Loja Física;1706.18;Adulto
269;94;62;2022-12-11;3;Online;8178.24;Adulto
270;338;91;2022-01-30;4;Loja Física;19478.28;Adulto
271;781;54;2023-05-22;3;Loja Física;2795.01;Adulto
272;171;45;2024-05-21;2;Online;2897.82;Adulto
273;981;49;2022-11-29;2;Online;1957.68;Adulto
274;606;99;2022-07-06;1;Loja Física;4277.48;Adulto
275;661;69;2023-05-15;3;Loja Física;8872.89;Adulto
276;624;38;2022-08-06;2;Online;3856.6;Adulto
277;567;4;2022-12-30;2;Online;340.94;Adulto
278;849;17;2024-03-27;4;Online;15231.92;Adulto
279;936;53;2022-09-22;3;Online;12609.3;Adulto
280;467;85;2022-12-15;1;Loja Física;1503.95;Adulto
281;628;53;2022-10-14;1;Loja Física;4203.1;Adulto
282;143;31;2024-06-20;1;Loja Física;4041.63;Adulto
283;201;22;2023-09-03;3;Loja Física;9073.71;Adulto
284;180;11;2023-12-20;2;Loja Física;5721.28;Adulto
285;714;34;2024-06-20;2;Online;722.82;Adulto
286;364;15;2022-10-10;4;Online;11786.64;Adulto
287;479;10;2023-07-24;4;Online;12542.72;Adulto
288;565;96;2022-01-11;2;Online;856.76;Adulto
289;471;53;2023-06-14;2;Loja Física;8406.2;Adulto
290;384;48;2024-08-28;3;Loja Física;9109.74;Adulto
291;692;31;2022-07-15;4;Online;16166.52;Adulto
292;926;37;2022-03-29;1;Loja Física;3419.9;Adulto
293;417;28;2022-09-05;1;Online;4978.59;Adulto
294;825;31;2024-01-08;1;Loja Física;4041.63;Adulto
295;308;70;2023-02-21;1;Loja Física;3004.92;Adulto
296;649;14;2023-05-16;2;Loja Física;5951.98;Adulto
297;694;87;2023-07-23;2;Loja Física;9972.94;Adulto
298;367;16;2024-02-16;3;Loja Física;14862.99;Adulto
299;1;25;2022-09-04;1;Loja Física;1775.34;Adulto
300;44;39;2023-12-09;2;Loja Física;9428.58;Adulto
301;739;66;2023-05-03;2;Online;5811.56;Idoso
302;843;38;2023-10-24;2;Online;3856.6;Adulto
303;98;41;2023-12-30;1;Loja Física;2551.76;Adulto
304;720;98;2023-05-18;2;Online;8206.34;Idoso
305;265;40;2023-04-04;4;Online;3680.2;Adulto
306;800;64;2024-03-22;1;Online;2069.25;Adulto
307;783;89;2022-01-18;1;Online;4497.09;Adulto
308;140;16;2022-04-06;4;Online;19817.32;Adulto
309;481;82;2022-10-29;3;Loja Física;13325.58;Adulto
310;237;77;2022-08-15;3;Loja Física;13250.31;Adulto
311;974;59;2023-02-19;1;Loja Física;4206.96;Idoso
312;953;91;2023-12-10;1;Online;4869.57;Adulto
313;904;98;2022-09-07;1;Online;4103.17;Adulto
314;72;11;2022-11-10;4;Loja Física;11442.56;Adulto
315;667;1;2023-11-11;2;Online;3265.22;Adulto
316;190;13;2023-08-19;4;Loja Física;17342.88;Adulto
317;268;30;2023-01-13;2;Loja Física;6565.18;Adulto
318;321;69;2023-04-30;2;Online;5915.26;Adulto
319;107;18;2023-07-21;3;Online;6801.72;Jovem
320;232;78;2023-06-28;4;Online;17705.12;Adulto
321;42;13;2022-12-19;4;Loja Física;17342.88;Adulto
322;702;32;2023-03-12;1;Loja Física;3603.99;Adulto
323;883;71;2024-02-03;4;Loja Física;7356.52;Adulto
324;139;72;2023-07-18;2;Loja Física;709.5;Jovem
325;615;50;2022-12-05;2;Online;7110.36;Adulto
326;683;71;2022-12-27;4;Loja Física;7356.52;Adulto
327;863;80;2023-12-21;3;Online;3405.12;Idoso
328;273;31;2023-04-10;3;Loja Física;12124.89;Adulto
329;481;51;2022-10-05;1;Loja Física;2330.34;Adulto
330;416;27;2022-11-10;1;Loja Física;1137.02;Adulto
331;506;60;2022-09-15;2;Loja Física;8067.54;Adulto
332;733;33;2022-08-25;4;Loja Física;12025.92;Adulto
333;725;53;2022-05-04;2;Loja Física;8406.2;Adulto
334;853;93;2024-01-09;2;Online;8504.4;Adulto
335;424;72;2022-07-17;4;Loja Física;1419.0;Adulto
336;407;33;2022-11-20;2;Online;6012.96;Idoso
337;568;41;2022-05-03;2;Online;5103.52;Jovem
338;390;19;2024-01-31;3;Loja Física;10698.75;Adulto
339;342;85;2023-07-03;1;Loja Física;1503.95;Adulto
340;946;41;2024-08-31;3;Loja Física;7655.28;Adulto
341;614;85;2024-02-20;1;Online;1503.95;Idoso
342;933;89;2023-12-08;1;Online;4497.09;Adulto
343;493;42;2022-07-09;1;Online;3485.33;Idoso
344;192;23;2022-07-16;3;Online;13944.27;Adulto
345;499;75;2022-08-10;4;Loja Física;2057.48;Idoso
346;822;33;2024-01-27;2;Online;6012.96;Adulto
347;712;20;2023-05-11;4;Online;8028.92;Adulto
348;233;25;2022-10-11;4;Online;7101.36;Adulto
349;945;90;2024-01-12;1;Online;3150.89;Adulto
350;227;52;2023-08-27;1;Loja Física;3372.03;Adulto
351;371;12;2024-09-27;3;Loja Física;9481.83;Adulto
352;139;32;2024-02-18;3;Loja Física;10811.97;Jovem
353;856;33;2023-06-22;2;Loja Física;6012.96;Adulto
354;817;74;2023-09-04;4;Loja Física;8697.36;Adulto
355;149;68;2022-10-17;4;Online;18457.64;Adulto
356;115;15;2022-04-13;2;Online;5893.32;Adulto
357;450;51;2024-05-02;1;Online;2330.34;Adulto
358;63;6;2022-07-18;3;Online;9469.02;Adulto
359;104;91;2022-10-31;2;Online;9739.14;Adulto
360;851;69;2022-08-21;4;Loja Física;11830.52;Jovem
361;871;69;2023-01-05;2;Online;5915.26;Idoso
362;668;82;2022-07-03;2;Loja Física;8883.72;Adulto
363;273;92;2022-11-06;4;Loja Física;9514.2;Adulto
364;6;35;2022-01-15;4;Loja Física;9313.4;Adulto
365;147;86;2023-12-27;3;Online;12098.82;Adulto
366;184;34;2023-07-01;3;Online;1084.23;Adulto
367;998;63;2022-05-10;4;Online;9974.52;Idoso
368;28;68;2022-10-08;3;Loja Física;13843.23;Adulto
369;962;18;2022-02-16;3;Loja Física;6801.72;Adulto
370;550;26;2024-09-24;3;Online;8056.86;Adulto
371;119;86;2022-02-25;4;Loja Física;16131.76;Adulto
372;293;97;2023-07-21;1;Loja Física;4879.18;Idoso
373;371;61;2022-10-27;1;Loja Física;4808.51;Adulto
374;244;78;2023-12-16;3;Online;13278.84;Adulto
375;580;95;2024-08-24;1;Loja Física;1742.87;Idoso
376;726;74;2022-05-10;3;Online;6523.02;Adulto
377;218;88;2023-10-16;1;Online;247.13;Idoso
378;177;85;2024-06-08;1;Loja Física;1503.95;Adulto
379;299;48;2024-02-10;2;Loja Física;6073.16;Adulto
380;676;72;2023-05-18;3;Loja Física;1064.25;Adulto
381;58;96;2022-04-16;1;Online;428.38;Idoso
382;269;31;2024-06-12;1;Online;4041.63;Adulto
383;308;34;2022-01-13;2;Loja Física;722.82;Adulto
384;570;87;2023-08-11;1;Loja Física;4986.47;Adulto
385;288;89;2022-10-19;2;Online;8994.18;Adulto
386;977;7;2023-04-26;1;Loja Física;3835.28;Adulto
387;105;83;2023-05-06;2;Online;2127.2;Adulto
388;228;7;2023-03-28;2;Loja Física;7670.56;Idoso
389;247;47;2022-12-15;4;Loja Física;12864.44;Adulto
390;700;8;2022-07-08;3;Loja Física;872.4;Idoso
391;494;78;2024-09-15;4;Online;17705.12;Adulto
392;83;1;2022-02-22;3;Loja Física;4897.83;Idoso
393;186;77;2022-09-16;1;Loja Física;4416.77;Idoso
394;252;3;2024-08-21;3;Online;3710.67;Adulto
395;355;53;2024-06-01;4;Online;16812.4;Adulto
396;750;92;2023-05-05;3;Online;7135.65;Adulto
397;872;38;2022-04-27;4;Online;7713.2;Idoso
398;696;51;2024-04-21;3;Online;6991.02;Idoso
399;796;15;2022-03-08;1;Online;2946.66;Idoso
400;897;67;2023-02-15;1;Online;1457.36;Adulto
401;938;64;2023-05-19;3;Online;6207.75;Idoso
402;210;68;2022-03-17;3;Loja Física;13843.23;Adulto
403;816;5;2023-08-14;1;Loja Física;3845.33;Adulto
404;808;90;2023-10-07;3;Loja Física;9452.67;Adulto
405;609;89;2023-12-04;2;Loja Física;8994.18;Idoso
406;447;10;2022-02-24;1;Online;3135.68;Adulto
407;460;8;2022-06-05;1;Online;290.8;Adulto
408;968;12;2022-06-02;4;Online;12642.44;Idoso
409;472;64;2024-04-10;4;Online;8277.0;Idoso
410;720;59;2023-07-31;2;Online;8413.92;Idoso
411;370;67;2024-08-29;3;Loja Física;4372.08;Adulto
412;900;91;2022-11-08;2;Loja Física;9739.14;Idoso
413;934;50;2022-03-29;3;Online;10665.54;Adulto
414;492;23;2022-09-12;4;Loja Física;18592.36;Jovem
415;923;40;2022-05-02;3;Online;2760.15;Adulto
416;137;97;2023-07-26;4;Online;19516.72;Adulto
417;367;78;2024-02-22;1;Loja Física;4426.28;Adulto
418;912;87;2023-03-03;1;Loja Física;4986.47;Adulto
419;184;95;2023-09-13;3;Online;5228.61;Adulto
420;588;77;2023-09-03;4;Loja Física;17667.08;Adulto
421;287;76;2024-03-20;2;Online;6147.1;Adulto
422;472;99;2023-09-26;4;Online;17109.92;Idoso
423;375;18;2022-08-20;4;Loja Física;9068.96;Idoso
424;654;21;2024-03-05;4;Online;4885.96;Adulto
425;749;1;2023-06-20;1;Online;1632.61;Adulto
426;537;38;2023-01-25;4;Loja Física;7713.2;Adulto
427;511;41;2023-04-07;3;Online;7655.28;Adulto
428;802;42;2024-07-19;1;Online;3485.33;Adulto
429;579;9;2023-03-30;1;Loja Física;4201.89;Adulto
430;250;23;2022-11-01;1;Loja Física;4648.09;Idoso
431;920;78;2024-05-30;4;Loja Física;17705.12;Idoso
432;510;11;2023-08-26;2;Online;5721.28;Idoso
433;630;71;2023-03-16;4;Online;7356.52;Idoso
434;73;31;2022-11-09;4;Loja Física;16166.52;Adulto
435;282;88;2023-08-06;2;Loja Física;494.26;Adulto
436;916;26;2023-09-28;4;Online;10742.48;Adulto
437;960;30;2022-03-03;3;Loja Física;9847.77;Adulto
438;360;34;2023-09-17;2;Online;722.82;Adulto
439;10;46;2024-09-10;3;Online;2596.23;Adulto
440;211;69;2024-01-28;3;Loja Física;8872.89;Adulto
441;835;5;2022-04-12;1;Online;3845.33;Adulto
442;152;61;2024-08-28;1;Loja Física;4808.51;Adulto
443;5;83;2024-02-21;2;Online;2127.2;Adulto
444;195;38;2022-08-01;4;Online;7713.2;Adulto
445;954;28;2023-10-03;3;Online;14935.77;Idoso
446;283;26;2022-08-05;4;Loja Física;10742.48;Idoso
447;464;61;2022-09-28;3;Online;14425.53;Adulto
448;113;23;2023-11-08;1;Online;4648.09;Adulto
449;271;46;2022-03-25;1;Loja Física;865.41;Adulto
450;163;30;2022-06-10;1;Loja Física;3282.59;Adulto
451;460;67;2022-09-03;2;Online;2914.72;Adulto
452;105;92;2022-06-27;3;Loja Física;7135.65;Adulto
453;693;33;2023-07-20;4;Online;12025.92;Adulto
454;556;3;2022-03-18;3;Online;3710.67;Adulto
455;282;69;2022-06-10;4;Online;11830.52;Adulto
456;687;83;2022-01-03;4;Online;4254.4;Idoso
457;162;42;2023-02-23;4;Online;13941.32;Adulto
458;983;62;2023-04-07;3;Online;8178.24;Adulto
459;351;58;2023-12-07;1;Loja Física;3528.23;Adulto
460;434;57;2023-09-01;2;Online;6175.04;Jovem
461;852;1;2023-04-27;2;Online;3265.22;Idoso
462;140;73;2022-10-26;1;Loja Física;255.54;Adulto
463;471;60;2022-02-03;2;Online;80675.4;Adulto
464;132;69;2022-08-26;4;Online;11830.52;Adulto
465;87;59;2022-10-23;2;Online;8413.92;Adulto
466;688;46;2023-12-25;3;Online;2596.23;Adulto
467;183;34;2022-10-17;1;Loja Física;361.41;Adulto
468;368;97;2023-12-21;1;Online;4879.18;Adulto
469;129;25;2024-05-30;1;Loja Física;1775.34;Idoso
470;246;42;2023-04-10;1;Loja Física;3485.33;Adulto
